segment_name,total_RFM_score,segment_order
ABOUT TO SLEEP,112,7
ABOUT TO SLEEP,113,7
ABOUT TO SLEEP,121,7
ABOUT TO SLEEP,122,7
ABOUT TO SLEEP,131,7
ABOUT TO SLEEP,211,7
ABOUT TO SLEEP,212,7
ABOUT TO SLEEP,221,7
RECENT CUSTOMER,311,5
RECENT CUSTOMER,312,5
RECENT CUSTOMER,313,5
CANNOT LOOSE THEM,123,4
CANNOT LOOSE THEM,132,4
CANNOT LOOSE THEM,133,4
CHAMPION,333,1
LOST CUSTOMER,111,8
LOYAL,233,2
LOYAL,323,2
LOYAL,332,2
POTENTIAL LOYALIST,223,3
POTENTIAL LOYALIST,232,3
POTENTIAL LOYALIST,322,3
POTENTIAL LOYALIST,331,3
AVERAGE,213,6
AVERAGE,222,6
AVERAGE,231,6
AVERAGE,321,6
